26-02-2024 08:19:33: General Functions  :- sp_TransactionError : Invalid column name 'udp_rot_ID'. - 
26-02-2024 08:20:07: General Functions  :- sp_TransactionError : Invalid column name 'snr_rot_ID'. - 
26-02-2024 08:42:43: General Functions  :- sp_TransactionError : Invalid column name 'snr_rot_ID'. - 
26-02-2024 10:23:00: General Functions  :- sp_MastersError : A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: TCP Provider, error: 0 - The network location cannot be reached. For information about network troubleshooting, see Windows Help.) - The network location cannot be reached. For information about network troubleshooting, see Windows Help
26-02-2024 10:23:00: General Functions  :- sp_MastersError : A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: TCP Provider, error: 0 - The network location cannot be reached. For information about network troubleshooting, see Windows Help.) - The network location cannot be reached. For information about network troubleshooting, see Windows Help
26-02-2024 10:23:00: General Functions  :- sp_MastersError : A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: TCP Provider, error: 0 - The network location cannot be reached. For information about network troubleshooting, see Windows Help.) - The network location cannot be reached. For information about network troubleshooting, see Windows Help
26-02-2024 10:23:00: General Functions  :- sp_MastersError : A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: TCP Provider, error: 0 - The network location cannot be reached. For information about network troubleshooting, see Windows Help.) - The network location cannot be reached. For information about network troubleshooting, see Windows Help
26-02-2024 10:23:00: General Functions  :- sp_MastersError : A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: TCP Provider, error: 0 - The network location cannot be reached. For information about network troubleshooting, see Windows Help.) - The network location cannot be reached. For information about network troubleshooting, see Windows Help
26-02-2024 10:23:00: General Functions  :- sp_TransactionError : A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: TCP Provider, error: 0 - The network location cannot be reached. For information about network troubleshooting, see Windows Help.) - The network location cannot be reached. For information about network troubleshooting, see Windows Help
26-02-2024 10:23:00: General Functions  :- sp_TransactionError : A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: TCP Provider, error: 0 - The network location cannot be reached. For information about network troubleshooting, see Windows Help.) - The network location cannot be reached. For information about network troubleshooting, see Windows Help
26-02-2024 10:29:11: General Functions  :- sp_TransactionError : Invalid column name 'snr_rot_ID'. - 
26-02-2024 10:51:14: General Functions  :- sp_TransactionError : Invalid column name 'snr_rot_ID'. - 
26-02-2024 10:52:46: General Functions  :- sp_TransactionError : Invalid column name 'snr_rot_ID'. - 
26-02-2024 10:57:44: General Functions  :- sp_TransactionError : Invalid column name 'snr_rot_ID'. - 
26-02-2024 11:01:03: General Functions  :- sp_TransactionError : Invalid column name 'snr_rot_ID'. - 
26-02-2024 19:41:02: General Functions  :- sp_TransactionError : Invalid column name 'snr_rot_ID'. - 
26-02-2024 19:44:50: General Functions  :- sp_TransactionError : Invalid column name 'snr_rot_ID'. - 
26-02-2024 23:19:54: General Functions  :- sp_TransactionError : Invalid column name 'snr_rot_ID'. - 
